indonesian_original,indonesian,papua_kokas,is_augmented
apa pendapatmu tentang ml bagaimana pengalamanmu dengan ml,apa pendapatmu tentang ml bagaimana pengalamanmu dengan ml,o pendapat akape adi ml o pengalaman akape adi ml,False
apa pendapatmu tentang pentingnya inovasi dalam sektor energi bersih,Bagaimana pendapatmu mengenai signifikansi inovasi dalam sektor energi bersih?,o pendapat akape adi pentingnya tana perubahan ami nanam sektor energi barsih,True
apa pendapatmu tentang pentingnya inovasi dalam sektor energi bersih,apa pendapatmu tentang pentingnya inovasi dalam sektor energi bersih,o pendapat akape adi pentingnya tana perubahan ami nanam sektor energi barsih,False
apa yang ingin kamu beli di toko elektronik?,Apa yang hendak kamu beli di toko elektronik?,omau mitoin ami toko elektronik,True
apa yang ingin kamu beli di toko elektronik?,apa yang ingin kamu beli di toko elektronik?,omau mitoin ami toko elektronik,False
bagaimana pandanganmu tentang industri film di indonesia,Bagaimana pandanganmu mengenai industri perfilman di Indonesia?,o pandangan akape adi indonesia film ami indonesia,True
bagaimana pandanganmu tentang industri film di indonesia,bagaimana pandanganmu tentang industri film di indonesia,o pandangan akape adi indonesia film ami indonesia,False
"menurutmu, apa saja manfaat dari mengikuti program magang","Menurutmu, apa manfaat yang didapat dari mengikuti program magang?",menurut o kwai kusafa watan manfaat afi aosir program magang,True
"menurutmu, apa saja manfaat dari mengikuti program magang","menurutmu, apa saja manfaat dari mengikuti program magang",menurut o kwai kusafa watan manfaat afi aosir program magang,False
aku suka meditasi dan berjalan-jalan.,Aku gemar bermeditasi dan berjalan-jalan.,yai suka meditasi adi apanpana,True
aku suka meditasi dan berjalan-jalan.,aku suka meditasi dan berjalan-jalan.,yai suka meditasi adi apanpana,False
bisakah kamu mengambilkan susu dari kulkas,Bisakah kamu mengambil susu dari kulkas?,obisa mugwaian susu afi kulkas,True
bisakah kamu mengambilkan susu dari kulkas,bisakah kamu mengambilkan susu dari kulkas,obisa mugwaian susu afi kulkas,False
apa yang kamu ketahui tentang sejarah seni keris di indonesia?,Apa yang kamu ketahui tentang sejarah seni keris di Indonesia?,o bare kusafa adi sejarah seni keris ami indonesia,True
apa yang kamu ketahui tentang sejarah seni keris di indonesia?,apa yang kamu ketahui tentang sejarah seni keris di indonesia?,o bare kusafa adi sejarah seni keris ami indonesia,False
saya ingin mengajakmu berjalan-jalan di taman nasional.,Saya ingin mengajakmu berjalan-jalan di taman nasional.,yai emau eajak otati tapanpana ami taman nasional,True
saya ingin mengajakmu berjalan-jalan di taman nasional.,saya ingin mengajakmu berjalan-jalan di taman nasional.,yai emau eajak otati tapanpana ami taman nasional,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi polusi udara di perkotaan?","Menurutmu, langkah apa saja yang dapat dilakukan untuk mengurangi polusi udara di perkotaan?",menurut o kusafa watan langkah yang bisa tana buat ta kurangi dirig finta ami urag magen,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi polusi udara di perkotaan?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi polusi udara di perkotaan?",menurut o kusafa watan langkah yang bisa tana buat ta kurangi dirig finta ami urag magen,False
apa pendapatmu tentang teknologi bagaimana pengalamanmu dengan teknologi,Bagaimana pandanganmu tentang teknologi dan pengalamanmu dengan teknologi?,o pendapat akape adi teknologi o pengalaman akape adi teknologi,True
apa pendapatmu tentang teknologi bagaimana pengalamanmu dengan teknologi,apa pendapatmu tentang teknologi bagaimana pengalamanmu dengan teknologi,o pendapat akape adi teknologi o pengalaman akape adi teknologi,False
tolong ingatkan saya untuk membeli susu di toko,Tolong ingatkan saya untuk membeli susu di toko.,tolong mikasi ingat yai buat atoin susu ami toko,True
tolong ingatkan saya untuk membeli susu di toko,tolong ingatkan saya untuk membeli susu di toko,tolong mikasi ingat yai buat atoin susu ami toko,False
bagaimana pandanganmu tentang fashion di indonesia?,Bagaimana pandanganmu mengenai dunia fashion di Indonesia?,o pendapat akape adi fashion ami indonesia,True
bagaimana pandanganmu tentang fashion di indonesia?,bagaimana pandanganmu tentang fashion di indonesia?,o pendapat akape adi fashion ami indonesia,False
apa pendapatmu tentang pentingnya menjaga kesehatan reproduksi,Bagaimana pendapatmu tentang pentingnya menjaga kesehatan reproduksi?,o pendapat akape adi pentingnya ta jaga kesehatan reproduksi,True
apa pendapatmu tentang pentingnya menjaga kesehatan reproduksi,apa pendapatmu tentang pentingnya menjaga kesehatan reproduksi,o pendapat akape adi pentingnya ta jaga kesehatan reproduksi,False
peningkatan akses pendidikan bagi anak-anak dengan disabilitas,Peningkatan akses pendidikan bagi anak-anak penyandang disabilitas.,peningkatan akses pendidikan bagi kapiropir adi disabilitas,True
peningkatan akses pendidikan bagi anak-anak dengan disabilitas,peningkatan akses pendidikan bagi anak-anak dengan disabilitas,peningkatan akses pendidikan bagi kapiropir adi disabilitas,False
apa yang kamu pikirkan tentang pentingnya seni dalam pendidikan?,Apa pendapatmu mengenai pentingnya seni dalam pendidikan?,kwai kusafa yang o pikir adi pentingnya seni ami pendidikan nanam?,True
apa yang kamu pikirkan tentang pentingnya seni dalam pendidikan?,apa yang kamu pikirkan tentang pentingnya seni dalam pendidikan?,kwai kusafa yang o pikir adi pentingnya seni ami pendidikan nanam?,False
"iya, aku suka film dokumenter yang informatif","Ya, saya menyukai film dokumenter yang informatif.","yo, yai suka film dokumenter yang informatif",True
"iya, aku suka film dokumenter yang informatif","iya, aku suka film dokumenter yang informatif","yo, yai suka film dokumenter yang informatif",False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi emisi karbon?","Menurutmu, langkah apa saja yang dapat diambil untuk mengurangi emisi karbon?",menurut o kusafa watan langkah yang bisa tana buat takurangi emisi karbon,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi emisi karbon?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi emisi karbon?",menurut o kusafa watan langkah yang bisa tana buat takurangi emisi karbon,False
bagaimana dengan pekerjaan rumahmu?,Bagaimana dengan tugas rumahmu?,akape adi opekerjaan rumah,True
bagaimana dengan pekerjaan rumahmu?,bagaimana dengan pekerjaan rumahmu?,akape adi opekerjaan rumah,False
apa yang kamu ketahui tentang adat istiadat di indonesia,Apa yang kamu ketahui tentang adat istiadat di Indonesia?,o bare kusafa adi adat istiadat ami indonesia,True
apa yang kamu ketahui tentang adat istiadat di indonesia,apa yang kamu ketahui tentang adat istiadat di indonesia,o bare kusafa adi adat istiadat ami indonesia,False
membangun rasa kepercayaan dan keamanan dalam keluarga sebagai fondasi perkembangan anak,Membangun kepercayaan dan rasa aman di dalam keluarga sebagai dasar bagi tumbuh kembang anak,tabangun rasa kepercayaan adi keamanan ami keluarga sebagai pondasi kapiropir sina perkembangan,True
membangun rasa kepercayaan dan keamanan dalam keluarga sebagai fondasi perkembangan anak,membangun rasa kepercayaan dan keamanan dalam keluarga sebagai fondasi perkembangan anak,tabangun rasa kepercayaan adi keamanan ami keluarga sebagai pondasi kapiropir sina perkembangan,False
bagaimana pendapatmu tentang kuliner indonesia,Bagaimana pandanganmu mengenai kuliner Indonesia?,o pendapat akape adi kuliner indonesia,True
bagaimana pendapatmu tentang kuliner indonesia,bagaimana pendapatmu tentang kuliner indonesia,o pendapat akape adi kuliner indonesia,False
"iya, aku suka film animasi karena ceritanya sering kali menarik","Betul, saya menyukai film animasi sebab alur ceritanya kerap menarik","yo, yai suka film animasi karena icarita sering kali menarik",True
"iya, aku suka film animasi karena ceritanya sering kali menarik","iya, aku suka film animasi karena ceritanya sering kali menarik","yo, yai suka film animasi karena icarita sering kali menarik",False
tolong kirimkan salam saya untuk keluargamu,"Sampaikan salam saya kepada keluarga Anda, ya",tolong ekirim salam ati o keluarga,True
tolong kirimkan salam saya untuk keluargamu,tolong kirimkan salam saya untuk keluargamu,tolong ekirim salam ati o keluarga,False
apakah kamu suka memasak makanan pedas,Apakah Anda gemar memasak hidangan pedas?,o nawan asigait afrubir kumnamin bayar,True
apakah kamu suka memasak makanan pedas,apakah kamu suka memasak makanan pedas,o nawan asigait afrubir kumnamin bayar,False
aku rutin berolahraga dan makan makanan sehat.,Saya rajin berolahraga dan mengonsumsi makanan sehat.,yai rutin berolahraga adi eum kumnamin sehat.,True
aku rutin berolahraga dan makan makanan sehat.,aku rutin berolahraga dan makan makanan sehat.,yai rutin berolahraga adi eum kumnamin sehat.,False
apa yang harus dilakukan untuk meningkatkan fotografi,Apa yang perlu dilakukan untuk meningkatkan keterampilan fotografi?,kwai kusafa yang parlu tana buat ta tingkatkan fotografi,True
apa yang harus dilakukan untuk meningkatkan fotografi,apa yang harus dilakukan untuk meningkatkan fotografi,kwai kusafa yang parlu tana buat ta tingkatkan fotografi,False
apa pendapatmu tentang pentingnya kesadaran akan pentingnya air bersih di pedesaan?,Bagaimana pendapat Anda mengenai pentingnya kesadaran akan air bersih di daerah pedesaan?,o pendapat akape tentang pentingnya kesadaran akan pentingnya wer barsih ami pedesaan,True
apa pendapatmu tentang pentingnya kesadaran akan pentingnya air bersih di pedesaan?,apa pendapatmu tentang pentingnya kesadaran akan pentingnya air bersih di pedesaan?,o pendapat akape tentang pentingnya kesadaran akan pentingnya wer barsih ami pedesaan,False
saya ingin membeli hadiah untuk ulang tahun anak saya,Saya hendak membeli kado untuk hari ulang tahun anak saya,yai emau etoin hadiah buat ulang tahun e yanak,True
saya ingin membeli hadiah untuk ulang tahun anak saya,saya ingin membeli hadiah untuk ulang tahun anak saya,yai emau etoin hadiah buat ulang tahun e yanak,False
bagaimana dengan pekerjaanmu,Bagaimana kabar pekerjaan Anda?,akape adi o pekerjaan,True
bagaimana dengan pekerjaanmu,bagaimana dengan pekerjaanmu,akape adi o pekerjaan,False
saya ingin memperbaiki hubungan dengan saudara-saudaraku.,Saya ingin memulihkan hubungan dengan saudara-saudara saya.,yai emau eperbaiki hubungan adi ekoraf sina,True
saya ingin memperbaiki hubungan dengan saudara-saudaraku.,saya ingin memperbaiki hubungan dengan saudara-saudaraku.,yai emau eperbaiki hubungan adi ekoraf sina,False
keluarga sebagai tempat untuk membangun dan merawat ikatan kasih sayang,Keluarga merupakan wadah untuk membina dan memelihara ikatan kasih sayang,ita keluarga tompat buat tana adi rawat ita kasih sayang,True
keluarga sebagai tempat untuk membangun dan merawat ikatan kasih sayang,keluarga sebagai tempat untuk membangun dan merawat ikatan kasih sayang,ita keluarga tompat buat tana adi rawat ita kasih sayang,False
apa pendapatmu tentang makanan bagaimana pengalamanmu dengan makanan,Bagaimana pandangan dan pengalaman Anda terkait makanan?,o pendapat akape adi kumnamin o pengalaman akape adi kumnamin,True
apa pendapatmu tentang makanan bagaimana pengalamanmu dengan makanan,apa pendapatmu tentang makanan bagaimana pengalamanmu dengan makanan,o pendapat akape adi kumnamin o pengalaman akape adi kumnamin,False
apa yang kamu harapkan dari masa depan indonesia,Apa harapan Anda untuk masa depan Indonesia?,o mi harap kusafa afi mada depan indonesia,True
apa yang kamu harapkan dari masa depan indonesia,apa yang kamu harapkan dari masa depan indonesia,o mi harap kusafa afi mada depan indonesia,False
kamu suka menonton film dokumenter,Apakah Anda senang menonton film dokumenter?,omi suka atogim film dokumenter,True
kamu suka menonton film dokumenter,kamu suka menonton film dokumenter,omi suka atogim film dokumenter,False
apa yang membuatmu tertarik dengan arsitektur?,Apa yang menarik minat Anda pada bidang arsitektur?,kwai kusafa yang ana o tertarik adi arsitektur?,True
apa yang membuatmu tertarik dengan arsitektur?,apa yang membuatmu tertarik dengan arsitektur?,kwai kusafa yang ana o tertarik adi arsitektur?,False
apa pendapatmu tentang pentingnya inovasi dalam teknologi transportasi,Bagaimana pendapat Anda tentang pentingnya inovasi dalam teknologi transportasi?,o pendapat akape adi pentingnya tana perubahan ami nanam teknologi transportasi,True
apa pendapatmu tentang pentingnya inovasi dalam teknologi transportasi,apa pendapatmu tentang pentingnya inovasi dalam teknologi transportasi,o pendapat akape adi pentingnya tana perubahan ami nanam teknologi transportasi,False
bagaimana cara merawat kucing dengan baik,Bagaimana cara merawat kucing secara baik?,akape cara ta rawat maryanak adi kues,True
bagaimana cara merawat kucing dengan baik,bagaimana cara merawat kucing dengan baik,akape cara ta rawat maryanak adi kues,False
apa yang kamu ketahui tentang keanekaragaman hayati di indonesia?,Apa yang Anda ketahui mengenai keanekaragaman hayati di Indonesia?,o bare kusafa adi keanekaragaman hayati ami indonesia,True
apa yang kamu ketahui tentang keanekaragaman hayati di indonesia?,apa yang kamu ketahui tentang keanekaragaman hayati di indonesia?,o bare kusafa adi keanekaragaman hayati ami indonesia,False
saya senang bisa bekerja denganmu dalam proyek ini,Saya merasa senang dapat bekerja sama dengan Anda dalam proyek ini,enawan sanang bisa ekarja sama adi o ami proyek ige,True
saya senang bisa bekerja denganmu dalam proyek ini,saya senang bisa bekerja denganmu dalam proyek ini,enawan sanang bisa ekarja sama adi o ami proyek ige,False
bagaimana pandanganmu tentang penggunaan teknologi dalam pendidikan,Bagaimana pendapat Anda mengenai pemanfaatan teknologi dalam dunia pendidikan?,o pandangan akape adi penggunaan teknologi ami pendidikan nanam,True
bagaimana pandanganmu tentang penggunaan teknologi dalam pendidikan,bagaimana pandanganmu tentang penggunaan teknologi dalam pendidikan,o pandangan akape adi penggunaan teknologi ami pendidikan nanam,False
bagaimana pandanganmu tentang pentingnya literasi visual?,Apa pandangan Anda terkait signifikansi literasi visual?,o pandangan akape adi pentingnya literasi visual?,True
bagaimana pandanganmu tentang pentingnya literasi visual?,bagaimana pandanganmu tentang pentingnya literasi visual?,o pandangan akape adi pentingnya literasi visual?,False
tolong bantu saya mengepak barang-barang ini,Bisakah Anda membantu saya mengemas barang-barang ini?,tolong obantu yai tapak kuminasi ige,True
tolong bantu saya mengepak barang-barang ini,tolong bantu saya mengepak barang-barang ini,tolong obantu yai tapak kuminasi ige,False
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan kulit?,Bagaimana pendapat Anda mengenai pentingnya merawat kesehatan kulit?,kwai kusafa yang o pikir adi pentingnya ta jaga ita kesehatan kunit?,True
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan kulit?,apa yang kamu pikirkan tentang pentingnya menjaga kesehatan kulit?,kwai kusafa yang o pikir adi pentingnya ta jaga ita kesehatan kunit?,False
